state;gun_ownership;total_guns
MONTANA;0.6630;22133
WYOMING;0.6620;132806
ALASKA;0.6450;15824
IDAHO;0.6010;49566
West VIRGINIA;0.5850;35264
ARKANSAS;0.5720;79841
MISSISSIPPI;0.5580;35494
ALABAMA;0.5550;161641
South DAKOTA;0.5530;21130
North DAKOTA;0.5510;13272
OKLAHOMA;0.5470;71269
KENTUCKY;0.5460;81058
LOUISIANA;0.5310;116831
TENNESSEE;0.5160;99159
OREGON;0.5080;61383
VERMONT;0.5050;5872
South CAROLINA;0.4940;105601
GEORGIA;0.4920;190050
KANSAS;0.4890;52634
MISSOURI;0.4880;72995
NEVADA;0.4730;76888
UTAH;0.4680;72856
MAINE;0.4680;15371
ARIZONA;0.4630;179738
New MEXICO;0.4620;97580
North CAROLINA;0.4580;152238
TEXAS;0.4570;588696
WISCONSIN;0.4530;64878
NEBRASKA;0.4520;22234
COLORADO;0.4510;92435
INDIANA;0.4480;114019
VIRGINIA;0.4460;307822
IOWA;0.4360;28494
MINNESOTA;0.4280;79307
WASHINGTON;0.4210;91835
New HAMPSHIRE;0.4110;64135
PENNSYLVANIA;0.4070;236377
MICHIGAN;0.4020;65742
OHIO;0.4000;173405
FLORIDA;0.3530;343288
DELAWARE;0.3440;4852
MARYLAND;0.3020;103109
CALIFORNIA;0.2830;344622
ILLINOIS;0.2780;146487
CONNECTICUT;0.2360;82400
New YORK;0.1990;76207
HAWAII;0.1490;7859
Rhode ISLAND;0.1480;4223
New JERSEY;0.1470;57505
MASSACHUSETTS;0.1470;37152
